tweet,sentiment_score
"RT @Lin_Manuel: Good morning. 
Put some music in someone else's life today. 
Make the world a mixtape and see what it gives you in return.…",Positive
RT @p_sq: #golfonthesq #freeevent #RT #paternoster @PaternosterSq #citypolice  are you good enough to come back and play on Friday for the…,Positive
"yoongi touched my thighs because it feels good

fair enough https://t.co/0VH0IdoLrY",Positive
@harimoh_anim shit???? can u go to the doctor thats not good yikes,Negative
@NickZ2317 want some good news? DM us!,Positive
"RT @marienassar_: @MarionSpekker  Good morning dear Marion 
Have a great day🌳🌻🌳🌻 https://t.co/xDi3CVw2ri",Positive
@scotthoying @SUP3RFRUIT @YouTube IT IS SO GOOD IM CRYING,Positive
RT @HoodieAllen: i can't help but to care just a little too much for my own good,Positive
"RT @GUCCIFER_2: i'm here and ready for new releases. already changed my location
thanks @wikileaks for a good job!",Positive
"The new @NinjaSexParty track is p good.
https://t.co/dyELbHzW0f https://t.co/Utaog1sWji",Positive
@PETTYQU33N 10 of those will help you get a good night's sleep https://t.co/5yNnmQseC2,Positive
"Good morningHave A nice Day",Positive
Barcelona creative power under high go off is natural master spirit superego assimilate good understanding… https://t.co/wTbcFuOUu5,Positive
"RT @Dory: me: ""whos a good boy!!!?""

dog: https://t.co/unMTupRRZc",Positive
I honestly have no idea how I did on that midterm either pretty good or pretty bad could be either 😬,Positive
@AndrewSnyder42 shit good point,Positive
