tweet,sentiment_score
Here we are at the Grocery Innovations Canada trade show. Getting a lot of positive respon… https://t.co/omI823fq5j https://t.co/9R8UFv8O6w,Positive
"stay positive, our love is stronger than any distance",Positive
Tough trying to be positive when negativity keeps coming my way.,Negative
"@PurityVenom &lt;lips, taking a little sip of the glass. ""Believe me I am careful. The positive thing about people it: they trust others way&gt;",Negative
"I Tried To Leave On A Positive Note

Must've Been Bothering You That Damn Bad, Still Is Lol",Positive
"RT @911well: For a positive future, start with a positive vision. https://t.co/uR10terSc0",Positive
RT @absby: HAPPY BIRTHDAY to my sister! Thank you for always being such a positive and selfless person!!! Love you so much happy 20🎉❤️💕 htt…,Positive
"RT @poojakamboj176: Dr @Gurmeetramrahim Guru ji is giving positive direction to the youth!!! Through his movies!!! Hatts of you!!

#Amazing…",Positive
"@OneByOne154 it can make or break the team. You know, I have no idea how to make positive energy anymore",Positive
"RT @_TonyTheTiger1: When you always have a positive response to bad situations... people don't know that when you're living for God, it be…",Negative
"https://t.co/drfyfX7THs Update: DGP IGA: 
So, myself and others have only tested positive to DGP IGA. Mine wa... https://t.co/LWabUaSuSu",Positive
Let's get positive: Our northern neighbors deliver an inspiring --and hopeful -- message for the U.S. election https://t.co/IzZNtsKbdW,Positive
"RT @SURFER_Magazine: ""Positive and negative thoughts are just thoughts. For a competitor, you’ve got to be thoughtless."" – Barton Lynch htt…",Negative
@mattcohen4real @GeneralHospital You bring in so much peace into the show! You are so positive &amp; motivating! Thank U &amp; Love you!❤️,Positive
"I love this! Thanks, Canada! We needed some positive words! 👍🏼 https://t.co/19gbvCHpRK",Positive
RT @LacrosseMag: How lacrosse do-gooders at @MarquetteMLax and @SienaLacrosse have shed a positive light on the sport recently: https://t.c…,Positive
A positive attitude gives you power over your circumstances instead of your circumstances having power over you.,Positive
RT @mariaberia30: Positive things happen to positive people!! Happy sunday my twitter friends. A big hug for all https://t.co/Hr41bJxEKq,Positive
"@criscyborg even changes that seem to be negative can be made into a positive. Push for a 145 female division!

We want more #WMMA, @ufc!",Positive
"RT @4everKnighttt: Professor, If I answer in positive 
can I have your daughter ???",Positive
"Job Fair @ Columbia! Oct 20th in 1104, 8th floor from 10-2! Bring resume, work experience, and a positive attitude to make connections!",Positive
@Niggooo_  Stay Positive,Positive
RT @barry_baines: I am an optimist.  It does not seem too much use being anything else – Winston Churchill.,Positive
RT @Isaiah_Atk801: Hard to stay positive,Negative
RT @90syears: Retweet if these had a positive impact on your childhood https://t.co/kyqKR16xjP,Positive
Positive thinking will let you do everything better than negative thinking will https://t.co/FRUPJzSKll,Positive
Positive thinking will let you do everything better than negative thinking will https://t.co/2sr5gtwVSG,Positive
RT @HealingMB: In order to carry a positive action we must develop here a positive vision #DalaiLama #Positivity #Healing #MindBody https:/…,Positive
"RT @MotivatinQuotes: - Work hard
- Be positive
- Show gratitude
- Volunteer more
- Be kind &amp; humble
- Value feedback
- Stay teachable
#Tues…",Positive
i block all negativity with a positive vibe. life too short to be a hater,Positive
"By choosing higher positive thoughts, you can change what you see and experience in your… https://t.co/eYAfLBoiXa",Positive
7 Ways to Create a Positive Work Environment  https://t.co/84PxFzc23y #smallbusiness  #durham,Positive
@jacobsartorius i wanna say how amazing you are for me. You always see the positive side of everything. And you're always smiling😌 i ❤️ you!,Positive
RT @dixitsudhir12: The women who oozes energy n positive vibes all along will sure make the true friend of India #AungSanSuuKyi #Bristec @S…,Positive
Positive vibes only!!🙌🙌,Positive
"RT @mrskillianjones: Jennifer Morrison is actually one of the only good things on this earth, how she remains so positive and pure baffles…",Positive
"When #work gets tough, don’t let it turn your #smile upside down! #staypositive https://t.co/6T3zNTVcph https://t.co/EhP3NvKVsd",Negative
always be positive and keep it 100,Positive
"RT @911well: For a positive future, start with a positive vision. https://t.co/uR10terSc0",Positive
There is a large deficit of cultural competency in policing due to the lack diversity #Positive Action Debate,Positive
In such a positive attitude... I'm like I THINK I CAN ACTUALLY PASS THESE GCSEs,Positive
"RT @911well: For a positive future, start with a positive vision. https://t.co/uR10terSc0",Positive
RISE GLORIOUS MY PEOPLES. POWER PEACE AND POSITIVE ENERGY FOLKS. WE ARE CREATIVE AND SEXY. POWERFUL AND... https://t.co/n0IL2nzybS,Positive
RT @2121Savage: A negative mind will never give you a positive life.,Negative
Chose positive aujourd'hui c'est que je me rends compte que ça ne m'a rien fait,Positive
Being kind and positive can seriously change your whole attitude.,Positive
Modern Family star Ariel Winter talks body-shaming https://t.co/9fgBEsZuPu,Positive
"RT @TheBossGirls: me: maybe if i tried to think more positive thoughts i'd feel better!

me the second something goes wrong: https://t.co/u…",Positive
"RT @YWCA_Canada: If your feminism isn't:
Body positive
Anti racist
Trans inclusive
Pro choice
Challenging ableism
Against classism
then who…",Positive
Unexpected text messages from the person you care about can have a positive affect on your body and instantly improve your mood. #fact,Positive
RT @Damien404: gotta stay positive. the mind is a powerful thing.,Positive
"RT @silvergold666: Adoro l'attività fisica, mi mette in pace col mondo, #aiutando a tirare fuori da me emozioni positive che non pensavo ne…",Positive
RT @AnaSofaKingCoo: Some of these (IGNORANT) white and Latina women haven't spoke on #BlackLivesMatter in a positive light yet &amp; claim they…,Positive
Public universities play a central role educating students to contribute in positive &amp; impactful ways.… https://t.co/92ZZkE1v7M,Positive
RT @NamelessUnited: A school in Baltimore replaced detention with meditation and say the positive results are stunning. #MakeItNationWide h…,Positive
"RT @RBKingston: .@kevinjdavis ""Tonight is positive, exciting and historic. Chief Minister, we welcome you here this evening.""",Positive
