tweet,sentiment_score
"RT @busts: When your day is already bad, and you get more bad news to add to the collection https://t.co/SB8DyIZ3lr",Negative
"RT @fenster_pg: Commentator: ""Will this kill?""
Spectator: ""Of course it wont, zzz bad commentary""
-
Player 1: ""I thought that would kill""
P…",Negative
What Is Good or Bad in #Sex? Who decides? A look at the themes in the “Good Pussy Bad Pussy” books by @AmyAimee14 https://t.co/6MNL0YtlLD,Positive
"Talk with your fingertips
Don't stop the car, let's drive
Suck on your amber lips
Just give me one bad night ♫ https://t.co/Ef3qcDzWjf",Negative
"RT @girlposts: me: I hate my sister so much 
someone: *talks bad about my sister*
me: https://t.co/e31ftsoqHf",Negative
"RT @autocorrects: “Person: ""How's life?"" 

Me: ""Yeah, not too bad.""” https://t.co/rLDYtg67ne",Negative
@cybersygh the fact that she has to anything except for not fuck up shows how bad of a candidate she vs. trump,Negative
RT @Lmao: when ur life has been spiraling out of control and you get more bad news https://t.co/bPxCNf8ssc,Positive
"@TinyKogasa ey, you're not that bad, i think.",Negative
RT @H_Mackay: Atmosphere at Loftus Road is now so bad that QPR are having to ask their fans to make noise https://t.co/SX9ahgMoTq https://t…,Negative
@ForecasterEnten @NateSilver538 @FiveThirtyEight @ClareMalone @jodyavirgan Good use polling or bad use of polling? https://t.co/7ZgxVh4IJL,Positive
RT @xperfectlypay: i never understood how people be hanging around people they be tlkin bad about 🤔,Negative
"RT @girlposts: me: I hate my sister so much 
someone: *talks bad about my sister*
me: https://t.co/e31ftsoqHf",Negative
RT @BealsParrish: Wow! This sounds like Something Howard Stern Would be doing. This is really bad. bad bad. https://t.co/8cH3pLirMK,Negative
